Name,Age,Address
Sophia,35.0,
David,53.0,
Eve,20.0,Madrid
Emma,,Paris
Eve,40.0,New York
David,38.0,Moscow
Bob,,Berlin
James,32.0,London
Mike,57.0,Toronto
Alice,48.0,Sydney
Bob,,Madrid
Olivia,45.0,London
Eve,22.0,Sydney
John,,Tokyo
Alice,52.0,New York
