Name,Age,Address
John,,Toronto
Eve,22.0,Toronto
David,22.0,
Alice,22.0,Madrid
Eve,31.0,New York
Eve,49.0,Toronto
James,31.0,Rome
James,33.0,Berlin
Bob,51.0,
James,39.0,Rome
John,54.0,
Olivia,35.0,Rome
Eve,48.0,Rome
Mike,31.0,Madrid
Mike,53.0,Toronto
John,50.0,Toronto
Olivia,21.0,London
Mike,47.0,Tokyo
John,23.0,Paris
Mike,46.0,Madrid
Mike,,Paris
James,54.0,New York
Eve,21.0,
Sophia,23.0,London
Sophia,26.0,
Eve,22.0,Paris
Laura,47.0,Rome
Olivia,33.0,Berlin
David,53.0,Berlin
Laura,,London
Alice,45.0,Moscow
Eve,24.0,Sydney
Laura,,Tokyo
Eve,48.0,Sydney
Mike,51.0,Madrid
Sophia,37.0,Toronto
Emma,47.0,
Emma,51.0,Paris
Bob,45.0,New York
John,,Rome
Emma,43.0,
Mike,21.0,Tokyo
James,57.0,London
Mike,59.0,Madrid
Bob,,Rome
Emma,33.0,Tokyo
Sophia,33.0,London
David,,
Sophia,56.0,Paris
Laura,29.0,Moscow
John,53.0,Tokyo
